,values
639,3.202399095372513e+17
640,3.203373366101934e+17
641,3.203004423980974e+17
642,3.200757039404155e+17
643,3.1973559201090765e+17
644,3.193153669351342e+17
645,3.188585375303598e+17
646,3.184942862449377e+17
647,3.183163770836091e+17
648,3.183243356922184e+17
649,3.184683285314273e+17
650,3.1852137713781965e+17
651,3.1851044063923405e+17
652,3.1850899122375885e+17
653,3.18587892131627e+17
654,3.187621382247547e+17
655,3.190011600131195e+17
656,3.1926426845138125e+17
657,3.194051516355707e+17
658,3.19496122221396e+17
659,3.192958130027233e+17
660,3.1889493103529165e+17
661,3.183831292544942e+17
662,3.178955195356283e+17
663,3.178955195356283e+17
664,3.173847191691592e+17
665,3.1687325997747405e+17
666,3.16325196456788e+17
667,3.157877004925665e+17
668,3.1527929824988365e+17
669,3.148001478467912e+17
670,3.143499066941768e+17
671,3.139275470247035e+17
672,3.135315930698875e+17
673,3.131604109431931e+17
674,3.12812340405076e+17
675,3.1248574756900045e+17
676,3.1217913031347405e+17
677,3.118910655760302e+17
678,3.116202884122542e+17
679,3.113655865837486e+17
680,3.111258796171592e+17
681,3.109001133921403e+17
682,3.106873919063982e+17
683,3.104868455106478e+17
684,3.102976836146299e+17
685,3.101191683341025e+17
686,3.099506144908411e+17
687,3.0979141596564685e+17
688,3.096410193453384e+17
689,3.094988185107169e+17
690,3.0936436546063565e+17
691,3.09237185840939e+17
692,3.091168052974715e+17
693,3.090029075941294e+17
694,3.0889501837675725e+17
695,3.0879284776226e+17
696,3.086960795145339e+17
697,3.086043710444667e+17
698,3.085174324689633e+17
699,3.0843502661094605e+17
700,3.0835688994032845e+17
701,3.082827589270241e+17
702,3.0821247545298125e+17
703,3.081457496351048e+17
704,3.080824760613601e+17
705,3.080223912016609e+17
706,3.07965363290964e+17
707,3.079112078582088e+17
708,3.078597931383521e+17
709,3.0781098736635085e+17
710,3.0776460607114445e+17
711,3.07720570193707e+17
712,3.076787216159867e+17
713,3.076389549259489e+17
714,3.076011647115592e+17
715,3.075652982668001e+17
716,3.075311447676027e+17
717,3.074987305669755e+17
718,3.074678975468667e+17
719,3.07438593001259e+17
720,3.074107115181179e+17
721,3.073842530974433e+17
722,3.073590596211835e+17
723,3.073351047363297e+17
724,3.073123357368648e+17
725,3.0729064721075405e+17
726,3.072700655110062e+17
727,3.072504852255867e+17
728,3.072318272954696e+17
729,3.072141180736635e+17
730,3.0719722579512525e+17
731,3.071812031658721e+17
732,3.071659447738696e+17
733,3.071514242661089e+17
734,3.071375889365729e+17
735,3.071244387852616e+17
736,3.071119474591662e+17
737,3.071000358992609e+17
738,3.070887304585544e+17
739,3.070779520780206e+17
740,3.0706770075765965e+17
741,3.0705795014446285e+17
742,3.070486475324129e+17
743,3.070398192745185e+17
744,3.070314126647624e+17
745,3.070234013501358e+17
746,3.0701578533063885e+17
747,3.070085119002542e+17
748,3.070016337649992e+17
749,3.069950455128392e+17
750,3.069887998497915e+17
751,3.0698284406983885e+17
752,3.0697717817298125e+17
753,3.069718021592187e+17
754,3.069666633225339e+17
755,3.069617880159355e+17
756,3.069571235334062e+17
757,3.069526962279547e+17
758,3.069484797465723e+17
759,3.069444477362504e+17
760,3.069406529030062e+17
761,3.069370161878139e+17
762,3.069335375906734e+17
763,3.069302434645934e+17
764,3.069271338095739e+17
765,3.069241295665889e+17
766,3.069212834416558e+17
767,3.069185690817659e+17
768,3.069160128399278e+17
769,3.069135620101243e+17
770,3.069112165923553e+17
771,3.069089765866209e+17
772,3.069068683459297e+17
773,3.069048655172731e+17
774,3.069029417476424e+17
775,3.069011233900462e+17
776,3.06899384091476e+17
777,3.0689772385193165e+17
778,3.0689614267141325e+17
779,3.068946405499208e+17
780,3.068932174874542e+17
781,3.068918734840136e+17
782,3.068905821865902e+17
783,3.068893172421755e+17
784,3.068881577097953e+17
785,3.0688705088343245e+17
786,3.068859704100782e+17
787,3.068849689957499e+17
788,3.068839939344302e+17
789,3.068830715791278e+17
790,3.068822019298427e+17
791,3.068813586335662e+17
792,3.06880568043307e+17
